,Rank,name,rating,Format,Volume Count,Start Date,End Date,Member Count,Genre
370,371,Mo Dao Zu Shi,8.91,Novel,4 vols,Dec 2016,Dec 2016,9225,"['Action', 'Fantasy', 'Supernatural', 'Historical', 'Martial Arts', 'Seinen']"
371,372,Monogatari Series: Second Season,8.9,Light Novel,6 vols,Oct 2010,Dec 2011,24237,"['Action', 'Comedy', 'Romance', 'School', 'Shounen']"
372,373,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.9,Manga,9 vols,Jan 2012,Jun 2015,19024,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'Slice of Life', 'Love Polygon', 'Visual Arts', 'Josei']"
373,374,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.89,Manga,28 vols,May 2015,Nov 2022,284123,"['Action', 'Adventure', 'Fantasy']"
374,375,Mikkakan no Koufuku,8.87,Novel,1 vols,Dec 2013,Dec 2013,34610,"['Drama', 'High Stakes Game', 'Psychological', 'Strategy Game', 'Seinen']"
375,376,GTO,8.87,Manga,25 vols,Dec 1996,Jan 2002,178087,"['Award Winning', 'Drama', 'Slice of Life', 'Childcare', 'Psychological', 'Josei']"
376,377,3-gatsu no Lion,8.86,Manga,unfinished,Jul 2007,unfinished,71950,"['Action', 'Comedy', 'Sci-Fi', 'Super Power']"
377,378,Haikyuu!!,8.86,Manga,45 vols,Feb 2012,Jul 2020,228868,"['Action', 'Drama', 'Racing', 'Seinen']"
378,379,Tian Guan Cifu,8.85,Manhua,unfinished,Oct 2019,unfinished,14423,"['Award Winning', 'Drama', 'Sci-Fi', 'Slice of Life', 'Adult Cast', 'Psychological', 'Space', 'Workplace', 'Seinen']"
379,380,Koe no Katachi,8.85,Manga,7 vols,Aug 2013,Nov 2014,278550,"['Action', 'Adventure', 'Shounen']"
380,381,Monogatari Series: Final Season,8.83,Light Novel,6 vols,Sep 2012,Sep 2014,19797,"['Action', 'Fantasy', 'Isekai', 'Video Game']"
381,382,86,8.83,Light Novel,unfinished,Feb 2017,unfinished,44286,"['Boys Love', 'Slice of Life']"
382,383,Sousou no Frieren,8.83,Manga,unfinished,Apr 2020,unfinished,142884,"['Boys Love', 'Drama', 'Slice of Life', 'School']"
383,384,Akatsuki no Yona,8.82,Manga,unfinished,Aug 2009,unfinished,141842,"['Comedy', 'Romance', 'Slice of Life', 'Historical', 'Shounen']"
384,385,Mushoku Tensei: Isekai Ittara Honki Dasu,8.82,Light Novel,26 vols,Jan 2014,Nov 2022,92475,"['Action', 'Fantasy', 'Supernatural', 'Historical', 'Martial Arts']"
385,386,Ookami to Koushinryou,8.82,Light Novel,unfinished,Feb 2006,unfinished,66465,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Shoujo']"
386,387,Kaze no Tani no Nausicaä,8.81,Manga,7 vols,Oct 1982,Feb 1994,61920,"['Adventure', 'Sci-Fi', 'Seinen']"
387,388,Kokou no Hito,8.81,Manga,17 vols,Nov 2007,Oct 2011,125239,"['Comedy', 'Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Josei']"
388,389,Re:Zero kara Hajimeru Isekai Seikatsu,8.81,Light Novel,unfinished,Jan 2014,unfinished,75018,"['Action', 'Comedy', 'Drama', 'Romance', 'Delinquents', 'School', 'Shounen']"
389,390,Kaoru Hana wa Rin to Saku,8.81,Manga,unfinished,Oct 2021,unfinished,93777,"['Comedy', 'Drama', 'Slice of Life', 'Sports', 'Delinquents', 'School', 'Team Sports', 'Shounen']"
390,391,The Greatest Estate Developer,8.81,Manhwa,unfinished,Jul 2021,unfinished,40982,"['Drama', 'Fantasy', 'Romance', 'Shoujo']"
391,392,Nana,8.8,Manga,21 vols,May 2000,May 2009,155115,"['Adventure', 'Award Winning', 'Drama', 'Mystery', 'Sports', 'Seinen']"
392,393,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.8,Light Novel,14 vols,May 2015,Sep 2019,90597,"['Award Winning', 'Sports', 'School', 'Team Sports', 'Shounen']"
393,394,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.78,Light Novel,33 vols,Jan 2015,Dec 2023,17113,"['Comedy', 'Girls Love', 'CGDCT', 'Gag Humor', 'School']"
394,395,Kusuriya no Hitorigoto,8.77,Light Novel,unfinished,Aug 2014,unfinished,14723,"['Award Winning', 'Drama', 'Slice of Life', 'Anthropomorphic', 'Psychological', 'Shounen']"
395,396,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.77,Light Novel,15 vols,Jan 2020,Nov 2024,39292,"['Comedy', 'Romance', 'School', 'Shoujo']"
396,397,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,Manga,3 vols,Aug 2016,Oct 2017,175768,"['Action', 'Adventure', 'Fantasy']"
397,398,Dungeon Meshi,8.76,Manga,14 vols,Feb 2014,Sep 2023,93656,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Isekai']"
398,399,Hunter x Hunter,8.76,Manga,unfinished,Mar 1998,unfinished,290839,"['Drama', 'Performing Arts', 'Showbiz', 'Shounen']"
399,400,Uchuu Kyoudai,8.75,Manga,unfinished,Dec 2007,unfinished,37464,"['Boys Love', 'Drama', 'Fantasy']"
400,401,Berserk,9.47,Manga,unfinished,Aug 1989,unfinished,740803,"['Boys Love', 'Drama', 'Supernatural', 'Historical', 'Isekai', 'Mythology', 'Reincarnation']"
401,402,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,Manga,24 vols,Jan 2004,Apr 2011,287531,"['Mystery', 'Supernatural', 'Suspense', 'Time Travel', 'Shounen']"
402,403,Vagabond,9.26,Manga,37 vols,Sep 1998,May 2015,417041,"['Action', 'Fantasy', 'Historical', 'Shounen']"
403,404,One Piece,9.22,Manga,unfinished,Jul 1997,unfinished,653920,"['Comedy', 'Gag Humor', 'School']"
404,405,Monster,9.16,Manga,18 vols,Dec 1994,Dec 2001,264525,"['Horror', 'Mystery', 'Supernatural']"
405,406,Slam Dunk,9.08,Manga,31 vols,Sep 1990,Jun 1996,183607,['Boys Love']
406,407,Vinland Saga,9.08,Manga,unfinished,Apr 2005,unfinished,327368,"['Comedy', 'Slice of Life', 'School', 'Shounen']"
407,408,Fullmetal Alchemist,9.04,Manga,27 vols,Jul 2001,Sep 2010,305613,"['Drama', 'Horror', 'Mystery', 'Romance', 'Supernatural', 'Psychological', 'Shoujo']"
408,409,Tian Guan Cifu,9.04,Novel,6 vols,Feb 2021,Mar 2022,14578,"['Horror', 'Mystery', 'Psychological']"
409,410,Guimi Zhi Zhu,9.03,Novel,18 vols,May 2020,Aug 2023,7977,"['Drama', 'Suspense', 'Detective', 'Organized Crime', 'Seinen']"
410,411,Grand Blue,9.03,Manga,unfinished,Apr 2014,unfinished,185660,"['Drama', 'Romance', 'Love Polygon', 'Showbiz', 'Shoujo']"
411,412,Omniscient Reader's Viewpoint,9.02,Novel,20 vols,Jan 2022,Sep 2023,20661,"['Action', 'Comedy', 'Drama', 'Ecchi', 'Delinquents', 'Shounen']"
412,413,Kingdom,9.01,Manga,unfinished,Jan 2006,unfinished,183301,"['Action', 'Drama', 'Shoujo']"
413,414,Oyasumi Punpun,8.99,Manga,13 vols,Mar 2007,Nov 2013,478622,"['Comedy', 'Drama', 'Slice of Life', 'Otaku Culture', 'School', 'Seinen']"
414,415,Houseki no Kuni,8.97,Manga,13 vols,Oct 2012,Apr 2024,149302,"['Drama', 'Romance', 'School', 'Seinen']"
415,416,Real,8.95,Manga,unfinished,Oct 1999,unfinished,97258,"['Action', 'Drama', 'Sci-Fi', 'Suspense', 'Gore', 'Psychological', 'Seinen']"
416,417,20th Century Boys,8.94,Manga,22 vols,Sep 1999,Apr 2006,283384,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Horror', 'Mystery', 'Romance', 'Sci-Fi', 'Suspense', 'Psychological', 'Survival', 'Shoujo']"
417,418,Ashita no Joe,8.94,Manga,20 vols,Jan 1968,May 1973,57009,"['Adventure', 'Boys Love', 'Fantasy', 'Isekai', 'Shoujo']"
418,419,Yotsuba to!,8.91,Manga,unfinished,Mar 2003,unfinished,164919,"['Action', 'Adventure', 'Historical', 'Military']"
419,420,Monogatari Series: First Season,8.91,Light Novel,6 vols,Nov 2006,Jul 2010,61482,"['Drama', 'Slice of Life', 'Seinen']"
420,421,Mo Dao Zu Shi,8.91,Novel,4 vols,Dec 2016,Dec 2016,9225,"['Action', 'Delinquents', 'School', 'Shounen']"
421,422,Monogatari Series: Second Season,8.9,Light Novel,6 vols,Oct 2010,Dec 2011,24237,"['Slice of Life', 'CGDCT', 'Iyashikei', 'School', 'Seinen']"
422,423,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.9,Manga,9 vols,Jan 2012,Jun 2015,19024,"['Drama', 'Fantasy', 'Romance', 'Time Travel']"
423,424,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.89,Manga,28 vols,May 2015,Nov 2022,284123,"['Boys Love', 'Drama', 'Memoir']"
424,425,Mikkakan no Koufuku,8.87,Novel,1 vols,Dec 2013,Dec 2013,34610,"['Romance', 'Slice of Life']"
425,426,GTO,8.87,Manga,25 vols,Dec 1996,Jan 2002,178087,['Drama']
426,427,3-gatsu no Lion,8.86,Manga,unfinished,Jul 2007,unfinished,71950,"['Comedy', 'Romance', 'School', 'Shounen']"
427,428,Haikyuu!!,8.86,Manga,45 vols,Feb 2012,Jul 2020,228868,"['Boys Love', 'Slice of Life', 'Childcare']"
428,429,Tian Guan Cifu,8.85,Manhua,unfinished,Oct 2019,unfinished,14423,"['Action', 'Fantasy', 'Seinen']"
429,430,Koe no Katachi,8.85,Manga,7 vols,Aug 2013,Nov 2014,278550,"['Drama', 'Mystery', 'Sci-Fi', 'Seinen']"
430,431,Monogatari Series: Final Season,8.83,Light Novel,6 vols,Sep 2012,Sep 2014,19797,"['Action', 'Fantasy', 'Sci-Fi']"
431,432,86,8.83,Light Novel,unfinished,Feb 2017,unfinished,44286,"['Comedy', 'Slice of Life', 'Mahou Shoujo']"
432,433,Sousou no Frieren,8.83,Manga,unfinished,Apr 2020,unfinished,142884,"['Adventure', 'Fantasy']"
433,434,Akatsuki no Yona,8.82,Manga,unfinished,Aug 2009,unfinished,141842,"['Action', 'Mecha', 'Shounen']"
434,435,Mushoku Tensei: Isekai Ittara Honki Dasu,8.82,Light Novel,26 vols,Jan 2014,Nov 2022,92475,"['Drama', 'Romance', 'Psychological', 'School', 'Shounen']"
435,436,Ookami to Koushinryou,8.82,Light Novel,unfinished,Feb 2006,unfinished,66465,"['Award Winning', 'Drama', 'Romance', 'Shoujo']"
436,437,Kaze no Tani no Nausicaä,8.81,Manga,7 vols,Oct 1982,Feb 1994,61920,"['Fantasy', 'Romance', 'Sci-Fi', 'Harem', 'School', 'Urban Fantasy']"
437,438,Kokou no Hito,8.81,Manga,17 vols,Nov 2007,Oct 2011,125239,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Josei']"
438,439,Re:Zero kara Hajimeru Isekai Seikatsu,8.81,Light Novel,unfinished,Jan 2014,unfinished,75018,"['Drama', 'Romance', 'Love Polygon', 'School']"
439,440,Kaoru Hana wa Rin to Saku,8.81,Manga,unfinished,Oct 2021,unfinished,93777,"['Horror', 'Mystery', 'Romance', 'Supernatural', 'School', 'Shounen']"
440,441,The Greatest Estate Developer,8.81,Manhwa,unfinished,Jul 2021,unfinished,40982,"['Award Winning', 'Drama', 'Sci-Fi', 'School', 'Seinen']"
441,442,Nana,8.8,Manga,21 vols,May 2000,May 2009,155115,"['Romance', 'Reincarnation']"
442,443,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.8,Light Novel,14 vols,May 2015,Sep 2019,90597,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Villainess']"
443,444,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.78,Light Novel,33 vols,Jan 2015,Dec 2023,17113,"['Fantasy', 'Organized Crime', 'Shounen']"
444,445,Kusuriya no Hitorigoto,8.77,Light Novel,unfinished,Aug 2014,unfinished,14723,"['Comedy', 'Romance', 'School']"
445,446,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.77,Light Novel,15 vols,Jan 2020,Nov 2024,39292,"['Comedy', 'Mystery', 'Romance', 'Slice of Life', 'School']"
446,447,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,Manga,3 vols,Aug 2016,Oct 2017,175768,"['Fantasy', 'Romance', 'Isekai', 'Reincarnation']"
447,448,Dungeon Meshi,8.76,Manga,14 vols,Feb 2014,Sep 2023,93656,"['Drama', 'Supernatural', 'Reincarnation', 'Showbiz', 'Seinen']"
448,449,Hunter x Hunter,8.76,Manga,unfinished,Mar 1998,unfinished,290839,"['Adventure', 'Award Winning', 'Sci-Fi', 'Suspense', 'Survival', 'Shounen']"
449,450,Uchuu Kyoudai,8.75,Manga,unfinished,Dec 2007,unfinished,37464,"['Boys Love', 'Fantasy']"
450,451,Berserk,9.47,Manga,unfinished,Aug 1989,unfinished,740803,"['Drama', 'Idols (Male)', 'Psychological', 'Reincarnation', 'Time Travel']"
451,452,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,Manga,24 vols,Jan 2004,Apr 2011,287531,"['Award Winning', 'Drama', 'Fantasy', 'Romance', 'Mahou Shoujo', 'Shoujo']"
452,453,Vagabond,9.26,Manga,37 vols,Sep 1998,May 2015,417041,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Shoujo']"
453,454,One Piece,9.22,Manga,unfinished,Jul 1997,unfinished,653920,"['Action', 'Adventure', 'Award Winning', 'Historical', 'Seinen']"
454,455,Monster,9.16,Manga,18 vols,Dec 1994,Dec 2001,264525,"['Drama', 'Historical', 'Seinen']"
455,456,Slam Dunk,9.08,Manga,31 vols,Sep 1990,Jun 1996,183607,"['Action', 'Adventure', 'Fantasy', 'Mystery']"
456,457,Vinland Saga,9.08,Manga,unfinished,Apr 2005,unfinished,327368,"['Drama', 'Mystery', 'Suspense', 'Psychological', 'Seinen']"
457,458,Fullmetal Alchemist,9.04,Manga,27 vols,Jul 2001,Sep 2010,305613,"['Drama', 'Fantasy', 'Suspense', 'Isekai', 'Psychological', 'Time Travel', 'Seinen']"
458,459,Tian Guan Cifu,9.04,Novel,6 vols,Feb 2021,Mar 2022,14578,"['Drama', 'Girls Love', 'School']"
459,460,Guimi Zhi Zhu,9.03,Novel,18 vols,May 2020,Aug 2023,7977,"['Romance', 'Love Polygon', 'School', 'Shoujo']"
460,461,Grand Blue,9.03,Manga,unfinished,Apr 2014,unfinished,185660,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Mythology']"
461,462,Omniscient Reader's Viewpoint,9.02,Novel,20 vols,Jan 2022,Sep 2023,20661,"['Drama', 'Mystery', 'Supernatural', 'Seinen']"
462,463,Kingdom,9.01,Manga,unfinished,Jan 2006,unfinished,183301,"['Action', 'Award Winning', 'Comedy', 'Drama', 'Supernatural', 'Shounen']"
463,464,Oyasumi Punpun,8.99,Manga,13 vols,Mar 2007,Nov 2013,478622,"['Comedy', 'Drama', 'Romance', 'Sports', 'School', 'Team Sports', 'Shounen']"
464,465,Houseki no Kuni,8.97,Manga,13 vols,Oct 2012,Apr 2024,149302,"['Action', 'Drama', 'Adult Cast', 'Organized Crime', 'Psychological', 'Strategy Game']"
465,466,Real,8.95,Manga,unfinished,Oct 1999,unfinished,97258,"['Boys Love', 'Fantasy', 'Supernatural', 'Shoujo']"
466,467,20th Century Boys,8.94,Manga,22 vols,Sep 1999,Apr 2006,283384,"['Action', 'Adventure', 'Organized Crime', 'Shounen']"
467,468,Ashita no Joe,8.94,Manga,20 vols,Jan 1968,May 1973,57009,"['Adventure', 'Fantasy']"
468,469,Yotsuba to!,8.91,Manga,unfinished,Mar 2003,unfinished,164919,"['Drama', 'Horror', 'Mystery', 'Psychological']"
469,470,Monogatari Series: First Season,8.91,Light Novel,6 vols,Nov 2006,Jul 2010,61482,"['Boys Love', 'Slice of Life', 'Childcare']"
470,471,Mo Dao Zu Shi,8.91,Novel,4 vols,Dec 2016,Dec 2016,9225,"['Comedy', 'Mystery', 'Romance', 'Slice of Life', 'School']"
471,472,Monogatari Series: Second Season,8.9,Light Novel,6 vols,Oct 2010,Dec 2011,24237,"['Comedy', 'Slice of Life', 'Pets']"
472,473,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.9,Manga,9 vols,Jan 2012,Jun 2015,19024,"['Fantasy', 'Girls Love', 'School']"
473,474,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.89,Manga,28 vols,May 2015,Nov 2022,284123,"['Award Winning', 'Romance', 'Supernatural', 'Vampire', 'Shounen']"
474,475,Mikkakan no Koufuku,8.87,Novel,1 vols,Dec 2013,Dec 2013,34610,"['Drama', 'Fantasy', 'Romance']"
475,476,GTO,8.87,Manga,25 vols,Dec 1996,Jan 2002,178087,"['Action', 'Comedy', 'Shounen']"
476,477,3-gatsu no Lion,8.86,Manga,unfinished,Jul 2007,unfinished,71950,"['Comedy', 'Romance', 'School']"
477,478,Haikyuu!!,8.86,Manga,45 vols,Feb 2012,Jul 2020,228868,"['Drama', 'Romance', 'Psychological', 'Showbiz', 'Shoujo']"
478,479,Tian Guan Cifu,8.85,Manhua,unfinished,Oct 2019,unfinished,14423,"['Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi', 'Harem', 'Mythology', 'School']"
479,480,Koe no Katachi,8.85,Manga,7 vols,Aug 2013,Nov 2014,278550,"['Comedy', 'Romance', 'Shoujo']"
480,481,Monogatari Series: Final Season,8.83,Light Novel,6 vols,Sep 2012,Sep 2014,19797,"['Girls Love', 'Slice of Life', 'Josei']"
481,482,86,8.83,Light Novel,unfinished,Feb 2017,unfinished,44286,"['Mystery', 'Romance', 'Supernatural', 'Time Travel']"
482,483,Sousou no Frieren,8.83,Manga,unfinished,Apr 2020,unfinished,142884,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Martial Arts']"
483,484,Akatsuki no Yona,8.82,Manga,unfinished,Aug 2009,unfinished,141842,"['Boys Love', 'Suspense', 'Historical']"
484,485,Mushoku Tensei: Isekai Ittara Honki Dasu,8.82,Light Novel,26 vols,Jan 2014,Nov 2022,92475,"['Boys Love', 'Comedy', 'Adult Cast', 'Video Game']"
485,486,Ookami to Koushinryou,8.82,Light Novel,unfinished,Feb 2006,unfinished,66465,"['Action', 'Shoujo']"
486,487,Kaze no Tani no Nausicaä,8.81,Manga,7 vols,Oct 1982,Feb 1994,61920,"['Comedy', 'Supernatural']"
487,488,Kokou no Hito,8.81,Manga,17 vols,Nov 2007,Oct 2011,125239,"['Award Winning', 'Slice of Life']"
488,489,Re:Zero kara Hajimeru Isekai Seikatsu,8.81,Light Novel,unfinished,Jan 2014,unfinished,75018,"['Drama', 'Romance', 'Seinen']"
489,490,Kaoru Hana wa Rin to Saku,8.81,Manga,unfinished,Oct 2021,unfinished,93777,"['Action', 'Adventure', 'Super Power', 'Shounen']"
490,491,The Greatest Estate Developer,8.81,Manhwa,unfinished,Jul 2021,unfinished,40982,"['Action', 'Fantasy', 'Supernatural', 'Historical', 'Martial Arts']"
491,492,Nana,8.8,Manga,21 vols,May 2000,May 2009,155115,"['Comedy', 'Slice of Life', 'Pets', 'Shoujo']"
492,493,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.8,Light Novel,14 vols,May 2015,Sep 2019,90597,"['Comedy', 'Romance', 'Shounen']"
493,494,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.78,Light Novel,33 vols,Jan 2015,Dec 2023,17113,"['Action', 'Mystery', 'Supernatural', 'Detective']"
494,495,Kusuriya no Hitorigoto,8.77,Light Novel,unfinished,Aug 2014,unfinished,14723,"['Romance', 'Video Game']"
495,496,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.77,Light Novel,15 vols,Jan 2020,Nov 2024,39292,"['Drama', 'Horror', 'Supernatural', 'Seinen']"
496,497,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,Manga,3 vols,Aug 2016,Oct 2017,175768,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Historical', 'Isekai', 'Magical Sex Shift', 'Shoujo']"
497,498,Dungeon Meshi,8.76,Manga,14 vols,Feb 2014,Sep 2023,93656,"['Award Winning', 'Comedy', 'Sports', 'Team Sports', 'Seinen']"
498,499,Hunter x Hunter,8.76,Manga,unfinished,Mar 1998,unfinished,290839,"['Action', 'Drama', 'Fantasy', 'Shoujo']"
499,500,Uchuu Kyoudai,8.75,Manga,unfinished,Dec 2007,unfinished,37464,"['Award Winning', 'Comedy', 'Gag Humor', 'Parody', 'School', 'Shounen']"
500,501,Berserk,9.47,Manga,unfinished,Aug 1989,unfinished,740803,"['Action', 'Horror', 'Romance', 'Supernatural', 'Vampire']"
501,502,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,Manga,24 vols,Jan 2004,Apr 2011,287531,"['Award Winning', 'Slice of Life', 'Seinen']"
502,503,Vagabond,9.26,Manga,37 vols,Sep 1998,May 2015,417041,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi', 'School', 'Shounen']"
503,504,One Piece,9.22,Manga,unfinished,Jul 1997,unfinished,653920,"['Award Winning', 'Boys Love', 'Drama', 'Psychological', 'Shoujo']"
504,505,Monster,9.16,Manga,18 vols,Dec 1994,Dec 2001,264525,"['Romance', 'School']"
505,506,Slam Dunk,9.08,Manga,31 vols,Sep 1990,Jun 1996,183607,['Boys Love']
506,507,Vinland Saga,9.08,Manga,unfinished,Apr 2005,unfinished,327368,"['Award Winning', 'Mystery', 'Josei']"
507,508,Fullmetal Alchemist,9.04,Manga,27 vols,Jul 2001,Sep 2010,305613,"['Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi', 'Harem', 'Mythology', 'School']"
508,509,Tian Guan Cifu,9.04,Novel,6 vols,Feb 2021,Mar 2022,14578,"['Comedy', 'Romance', 'Workplace', 'Seinen']"
509,510,Guimi Zhi Zhu,9.03,Novel,18 vols,May 2020,Aug 2023,7977,"['Girls Love', 'School']"
510,511,Grand Blue,9.03,Manga,unfinished,Apr 2014,unfinished,185660,"['Action', 'Fantasy']"
511,512,Omniscient Reader's Viewpoint,9.02,Novel,20 vols,Jan 2022,Sep 2023,20661,"['Comedy', 'Romance', 'Love Polygon', 'School', 'Seinen']"
512,513,Kingdom,9.01,Manga,unfinished,Jan 2006,unfinished,183301,"['Boys Love', 'Slice of Life', 'School']"
513,514,Oyasumi Punpun,8.99,Manga,13 vols,Mar 2007,Nov 2013,478622,"['Action', 'Fantasy', 'Romance', 'Sci-Fi', 'School', 'Urban Fantasy']"
514,515,Houseki no Kuni,8.97,Manga,13 vols,Oct 2012,Apr 2024,149302,"['Drama', 'Shounen']"
515,516,Real,8.95,Manga,unfinished,Oct 1999,unfinished,97258,"['Comedy', 'Supernatural', 'Mythology', 'Shounen']"
516,517,20th Century Boys,8.94,Manga,22 vols,Sep 1999,Apr 2006,283384,"['Slice of Life', 'Pets', 'Seinen']"
517,518,Ashita no Joe,8.94,Manga,20 vols,Jan 1968,May 1973,57009,"['Romance', 'School', 'Shoujo']"
518,519,Yotsuba to!,8.91,Manga,unfinished,Mar 2003,unfinished,164919,"['Action', 'Comedy', 'Fantasy', 'Mahou Shoujo']"
519,520,Monogatari Series: First Season,8.91,Light Novel,6 vols,Nov 2006,Jul 2010,61482,"['Drama', 'Horror', 'Mahou Shoujo', 'School', 'Seinen']"
520,521,Mo Dao Zu Shi,8.91,Novel,4 vols,Dec 2016,Dec 2016,9225,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Josei']"
521,522,Monogatari Series: Second Season,8.9,Light Novel,6 vols,Oct 2010,Dec 2011,24237,"['Comedy', 'Drama', 'Romance', 'School', 'Shoujo']"
522,523,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.9,Manga,9 vols,Jan 2012,Jun 2015,19024,"['Comedy', 'Drama', 'Romance', 'Adult Cast', 'Seinen']"
523,524,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.89,Manga,28 vols,May 2015,Nov 2022,284123,"['Award Winning', 'Romance', 'Slice of Life', 'Historical', 'Seinen']"
524,525,Mikkakan no Koufuku,8.87,Novel,1 vols,Dec 2013,Dec 2013,34610,"['Action', 'Drama', 'Sci-Fi', 'Martial Arts', 'Seinen']"
525,526,GTO,8.87,Manga,25 vols,Dec 1996,Jan 2002,178087,"['Comedy', 'Romance', 'Slice of Life', 'Shoujo']"
526,527,3-gatsu no Lion,8.86,Manga,unfinished,Jul 2007,unfinished,71950,"['Award Winning', 'Drama', 'Medical', 'Psychological', 'Seinen']"
527,528,Haikyuu!!,8.86,Manga,45 vols,Feb 2012,Jul 2020,228868,"['Action', 'Adventure', 'Historical', 'Vampire', 'Shounen']"
528,529,Tian Guan Cifu,8.85,Manhua,unfinished,Oct 2019,unfinished,14423,"['Award Winning', 'Drama', 'Historical', 'Military']"
529,530,Koe no Katachi,8.85,Manga,7 vols,Aug 2013,Nov 2014,278550,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Mythology', 'Shounen']"
530,531,Monogatari Series: Final Season,8.83,Light Novel,6 vols,Sep 2012,Sep 2014,19797,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'School', 'Shounen']"
531,532,86,8.83,Light Novel,unfinished,Feb 2017,unfinished,44286,"['Action', 'Drama', 'Psychological', 'School', 'Seinen']"
532,533,Sousou no Frieren,8.83,Manga,unfinished,Apr 2020,unfinished,142884,"['Supernatural', 'Detective', 'Shoujo']"
533,534,Akatsuki no Yona,8.82,Manga,unfinished,Aug 2009,unfinished,141842,"['Action', 'Fantasy', 'Historical', 'Shounen']"
534,535,Mushoku Tensei: Isekai Ittara Honki Dasu,8.82,Light Novel,26 vols,Jan 2014,Nov 2022,92475,"['Award Winning', 'Mystery', 'Suspense', 'Psychological', 'Survival', 'Shounen']"
535,536,Ookami to Koushinryou,8.82,Light Novel,unfinished,Feb 2006,unfinished,66465,"['Boys Love', 'School']"
536,537,Kaze no Tani no Nausicaä,8.81,Manga,7 vols,Oct 1982,Feb 1994,61920,"['Comedy', 'Slice of Life', 'Seinen']"
537,538,Kokou no Hito,8.81,Manga,17 vols,Nov 2007,Oct 2011,125239,"['Adventure', 'Drama', 'Mystery', 'School']"
538,539,Re:Zero kara Hajimeru Isekai Seikatsu,8.81,Light Novel,unfinished,Jan 2014,unfinished,75018,"['Award Winning', 'Comedy', 'Slice of Life', 'Shoujo']"
539,540,Kaoru Hana wa Rin to Saku,8.81,Manga,unfinished,Oct 2021,unfinished,93777,"['Action', 'Adventure', 'Fantasy']"
540,541,The Greatest Estate Developer,8.81,Manhwa,unfinished,Jul 2021,unfinished,40982,"['Romance', 'Slice of Life', 'School', 'Seinen']"
541,542,Nana,8.8,Manga,21 vols,May 2000,May 2009,155115,"['Romance', 'Suspense', 'Psychological']"
542,543,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.8,Light Novel,14 vols,May 2015,Sep 2019,90597,"['Comedy', 'Gourmet', 'Slice of Life', 'Childcare', 'Iyashikei', 'Seinen']"
543,544,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.78,Light Novel,33 vols,Jan 2015,Dec 2023,17113,"['Adventure', 'Comedy', 'Detective', 'Shounen']"
