,Rank,name,rating,Format,Volume Count,Start Date,End Date,Member Count,Genre
239,240,Kaoru Hana wa Rin to Saku,8.81,Manga,unfinished,Oct 2021,unfinished,93777,"['Romance', 'Adult Cast', 'Showbiz']"
240,241,The Greatest Estate Developer,8.81,Manhwa,unfinished,Jul 2021,unfinished,40982,"['Action', 'Comedy', 'Drama', 'Romance', 'Martial Arts', 'School']"
241,242,Nana,8.8,Manga,21 vols,May 2000,May 2009,155115,"['Award Winning', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']"
242,243,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.8,Light Novel,14 vols,May 2015,Sep 2019,90597,"['Comedy', 'Drama', 'Mystery', 'Supernatural', 'Seinen']"
243,244,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.78,Light Novel,33 vols,Jan 2015,Dec 2023,17113,"['Comedy', 'Slice of Life', 'CGDCT', 'School']"
244,245,Kusuriya no Hitorigoto,8.77,Light Novel,unfinished,Aug 2014,unfinished,14723,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy', 'Romance', 'Mahou Shoujo', 'Shoujo']"
245,246,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.77,Light Novel,15 vols,Jan 2020,Nov 2024,39292,"['Action', 'Award Winning', 'Horror', 'Sci-Fi', 'Gore', 'Psychological', 'Seinen']"
246,247,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,Manga,3 vols,Aug 2016,Oct 2017,175768,"['Award Winning', 'Comedy', 'Drama', 'School', 'Shounen']"
247,248,Dungeon Meshi,8.76,Manga,14 vols,Feb 2014,Sep 2023,93656,"['Comedy', 'Drama', 'Romance', 'Otaku Culture', 'Shounen']"
248,249,Hunter x Hunter,8.76,Manga,unfinished,Mar 1998,unfinished,290839,"['Drama', 'Romance', 'Historical', 'Military', 'Shoujo']"
249,250,Uchuu Kyoudai,8.75,Manga,unfinished,Dec 2007,unfinished,37464,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Shounen']"
250,251,Berserk,9.47,Manga,unfinished,Aug 1989,unfinished,740803,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']"
251,252,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,Manga,24 vols,Jan 2004,Apr 2011,287531,"['Fantasy', 'Mystery', 'Seinen']"
252,253,Vagabond,9.26,Manga,37 vols,Sep 1998,May 2015,417041,"['Drama', 'Josei']"
253,254,One Piece,9.22,Manga,unfinished,Jul 1997,unfinished,653920,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']"
254,255,Monster,9.16,Manga,18 vols,Dec 1994,Dec 2001,264525,"['Boys Love', 'Drama']"
255,256,Slam Dunk,9.08,Manga,31 vols,Sep 1990,Jun 1996,183607,"['Action', 'Fantasy', 'Mythology', 'Shounen']"
256,257,Vinland Saga,9.08,Manga,unfinished,Apr 2005,unfinished,327368,"['Mystery', 'Supernatural', 'Psychological', 'Time Travel', 'Seinen']"
257,258,Fullmetal Alchemist,9.04,Manga,27 vols,Jul 2001,Sep 2010,305613,"['Comedy', 'Drama', 'Romance', 'Sports', 'Performing Arts', 'School', 'Shounen']"
258,259,Tian Guan Cifu,9.04,Novel,6 vols,Feb 2021,Mar 2022,14578,"['Comedy', 'Romance', 'Adult Cast', 'Otaku Culture', 'Workplace']"
259,260,Guimi Zhi Zhu,9.03,Novel,18 vols,May 2020,Aug 2023,7977,"['Action', 'Supernatural', 'Super Power']"
260,261,Grand Blue,9.03,Manga,unfinished,Apr 2014,unfinished,185660,"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Supernatural', 'Shounen']"
261,262,Omniscient Reader's Viewpoint,9.02,Novel,20 vols,Jan 2022,Sep 2023,20661,"['Drama', 'Horror', 'Mystery', 'Supernatural', 'Psychological', 'Seinen']"
262,263,Kingdom,9.01,Manga,unfinished,Jan 2006,unfinished,183301,"['Drama', 'Historical', 'Shounen']"
263,264,Oyasumi Punpun,8.99,Manga,13 vols,Mar 2007,Nov 2013,478622,"['Comedy', 'Fantasy', 'Girls Love', 'School', 'Villainess']"
264,265,Houseki no Kuni,8.97,Manga,13 vols,Oct 2012,Apr 2024,149302,"['Action', 'Fantasy', 'Supernatural']"
265,266,Real,8.95,Manga,unfinished,Oct 1999,unfinished,97258,['Drama']
266,267,20th Century Boys,8.94,Manga,22 vols,Sep 1999,Apr 2006,283384,"['Award Winning', 'Boys Love', 'Comedy', 'Romance', 'School', 'Shoujo']"
267,268,Ashita no Joe,8.94,Manga,20 vols,Jan 1968,May 1973,57009,"['Drama', 'Slice of Life', 'Sports', 'Seinen']"
268,269,Yotsuba to!,8.91,Manga,unfinished,Mar 2003,unfinished,164919,"['Boys Love', 'Drama']"
269,270,Monogatari Series: First Season,8.91,Light Novel,6 vols,Nov 2006,Jul 2010,61482,"['Drama', 'Girls Love', 'Historical']"
270,271,Mo Dao Zu Shi,8.91,Novel,4 vols,Dec 2016,Dec 2016,9225,"['Comedy', 'Fantasy', 'Shounen']"
271,272,Monogatari Series: Second Season,8.9,Light Novel,6 vols,Oct 2010,Dec 2011,24237,"['Award Winning', 'Comedy', 'Drama', 'School', 'Shounen']"
272,273,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.9,Manga,9 vols,Jan 2012,Jun 2015,19024,"['Comedy', 'CGDCT', 'Iyashikei', 'Workplace']"
273,274,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.89,Manga,28 vols,May 2015,Nov 2022,284123,"['Adventure', 'Award Winning', 'Fantasy', 'Romance', 'Isekai', 'Mythology', 'Shoujo']"
274,275,Mikkakan no Koufuku,8.87,Novel,1 vols,Dec 2013,Dec 2013,34610,"['Drama', 'Adult Cast', 'Strategy Game']"
275,276,GTO,8.87,Manga,25 vols,Dec 1996,Jan 2002,178087,"['Drama', 'Psychological']"
276,277,3-gatsu no Lion,8.86,Manga,unfinished,Jul 2007,unfinished,71950,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']"
277,278,Haikyuu!!,8.86,Manga,45 vols,Feb 2012,Jul 2020,228868,"['Drama', 'Fantasy']"
278,279,Tian Guan Cifu,8.85,Manhua,unfinished,Oct 2019,unfinished,14423,"['Award Winning', 'Drama', 'Music', 'Seinen']"
279,280,Koe no Katachi,8.85,Manga,7 vols,Aug 2013,Nov 2014,278550,"['Drama', 'Fantasy', 'Romance', 'Mythology', 'Urban Fantasy', 'Shounen']"
280,281,Monogatari Series: Final Season,8.83,Light Novel,6 vols,Sep 2012,Sep 2014,19797,"['Award Winning', 'Romance', 'School', 'Shoujo']"
281,282,86,8.83,Light Novel,unfinished,Feb 2017,unfinished,44286,"['Fantasy', 'Mystery', 'Supernatural', 'Historical', 'Iyashikei', 'Seinen']"
282,283,Sousou no Frieren,8.83,Manga,unfinished,Apr 2020,unfinished,142884,"['Fantasy', 'Shounen']"
283,284,Akatsuki no Yona,8.82,Manga,unfinished,Aug 2009,unfinished,141842,"['Action', 'Fantasy', 'Isekai', 'Military', 'Reincarnation']"
284,285,Mushoku Tensei: Isekai Ittara Honki Dasu,8.82,Light Novel,26 vols,Jan 2014,Nov 2022,92475,"['Action', 'Adventure', 'Supernatural', 'Seinen']"
285,286,Ookami to Koushinryou,8.82,Light Novel,unfinished,Feb 2006,unfinished,66465,"['Drama', 'Girls Love', 'School']"
286,287,Kaze no Tani no Nausicaä,8.81,Manga,7 vols,Oct 1982,Feb 1994,61920,"['Fantasy', 'Time Travel']"
287,288,Kokou no Hito,8.81,Manga,17 vols,Nov 2007,Oct 2011,125239,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'School', 'Shoujo']"
288,289,Re:Zero kara Hajimeru Isekai Seikatsu,8.81,Light Novel,unfinished,Jan 2014,unfinished,75018,"['Comedy', 'Drama', 'Romance', 'Love Polygon', 'School', 'Super Power', 'Shoujo']"
289,290,Kaoru Hana wa Rin to Saku,8.81,Manga,unfinished,Oct 2021,unfinished,93777,"['Action', 'Romance', 'Mecha', 'Military', 'Shounen']"
290,291,The Greatest Estate Developer,8.81,Manhwa,unfinished,Jul 2021,unfinished,40982,"['Action', 'Drama', 'Romance', 'Supernatural']"
291,292,Nana,8.8,Manga,21 vols,May 2000,May 2009,155115,"['Drama', 'Romance', 'Historical']"
292,293,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,8.8,Light Novel,14 vols,May 2015,Sep 2019,90597,"['Comedy', 'Drama', 'Romance', 'Psychological']"
293,294,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.78,Light Novel,33 vols,Jan 2015,Dec 2023,17113,"['Action', 'Comedy', 'Fantasy', 'Supernatural']"
294,295,Kusuriya no Hitorigoto,8.77,Light Novel,unfinished,Aug 2014,unfinished,14723,['Fantasy']
295,296,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,8.77,Light Novel,15 vols,Jan 2020,Nov 2024,39292,"['Music', 'Seinen']"
296,297,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",8.77,Manga,3 vols,Aug 2016,Oct 2017,175768,"['Drama', 'Romance', 'Psychological', 'Shoujo']"
297,298,Dungeon Meshi,8.76,Manga,14 vols,Feb 2014,Sep 2023,93656,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural', 'Historical', 'Seinen']"
298,299,Hunter x Hunter,8.76,Manga,unfinished,Mar 1998,unfinished,290839,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'Sports', 'Love Polygon', 'School', 'Team Sports', 'Shounen']"
299,300,Uchuu Kyoudai,8.75,Manga,unfinished,Dec 2007,unfinished,37464,"['Award Winning', 'Drama', 'Medical', 'Shounen']"
300,301,Berserk,9.47,Manga,unfinished,Aug 1989,unfinished,740803,"['Action', 'Comedy', 'Drama', 'Suspense', 'Delinquents', 'Psychological', 'Seinen']"
301,302,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,Manga,24 vols,Jan 2004,Apr 2011,287531,"['Action', 'Supernatural', 'Suspense', 'Psychological', 'Seinen']"
302,303,Vagabond,9.26,Manga,37 vols,Sep 1998,May 2015,417041,"['Action', 'Fantasy', 'Military', 'Shounen']"
303,304,One Piece,9.22,Manga,unfinished,Jul 1997,unfinished,653920,"['Comedy', 'Supernatural', 'Gag Humor', 'School', 'Super Power', 'Shounen']"
304,305,Monster,9.16,Manga,18 vols,Dec 1994,Dec 2001,264525,"['Drama', 'Fantasy', 'Romance', 'Slice of Life', 'Childcare', 'Seinen']"
305,306,Slam Dunk,9.08,Manga,31 vols,Sep 1990,Jun 1996,183607,"['Comedy', 'CGDCT', 'Music']"
306,307,Vinland Saga,9.08,Manga,unfinished,Apr 2005,unfinished,327368,"['Boys Love', 'Drama', 'Slice of Life']"
307,308,Fullmetal Alchemist,9.04,Manga,27 vols,Jul 2001,Sep 2010,305613,"['Boys Love', 'Slice of Life']"
308,309,Tian Guan Cifu,9.04,Novel,6 vols,Feb 2021,Mar 2022,14578,"['Action', 'Fantasy', 'Horror', 'Gore', 'Psychological', 'Urban Fantasy', 'Seinen']"
309,310,Guimi Zhi Zhu,9.03,Novel,18 vols,May 2020,Aug 2023,7977,"['Award Winning', 'Romance', 'Slice of Life', 'School', 'Shoujo']"
310,311,Grand Blue,9.03,Manga,unfinished,Apr 2014,unfinished,185660,['Mystery']
311,312,Omniscient Reader's Viewpoint,9.02,Novel,20 vols,Jan 2022,Sep 2023,20661,"['Boys Love', 'Slice of Life', 'School']"
312,313,Kingdom,9.01,Manga,unfinished,Jan 2006,unfinished,183301,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Slice of Life', 'Kids']"
313,314,Oyasumi Punpun,8.99,Manga,13 vols,Mar 2007,Nov 2013,478622,"['Award Winning', 'Slice of Life', 'Historical', 'Martial Arts', 'Samurai', 'Seinen']"
314,315,Houseki no Kuni,8.97,Manga,13 vols,Oct 2012,Apr 2024,149302,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen']"
315,316,Real,8.95,Manga,unfinished,Oct 1999,unfinished,97258,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'Slice of Life', 'Love Polygon', 'School', 'Showbiz', 'Shoujo']"
316,317,20th Century Boys,8.94,Manga,22 vols,Sep 1999,Apr 2006,283384,"['Drama', 'Romance', 'School', 'Visual Arts', 'Josei']"
317,318,Ashita no Joe,8.94,Manga,20 vols,Jan 1968,May 1973,57009,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Psychological', 'Seinen']"
318,319,Yotsuba to!,8.91,Manga,unfinished,Mar 2003,unfinished,164919,"['Action', 'Drama', 'Adult Cast', 'Military', 'Organized Crime', 'Seinen']"
319,320,Monogatari Series: First Season,8.91,Light Novel,6 vols,Nov 2006,Jul 2010,61482,"['Romance', 'Childcare', 'Shoujo']"
320,321,Mo Dao Zu Shi,8.91,Novel,4 vols,Dec 2016,Dec 2016,9225,"['Drama', 'Horror', 'Mystery', 'Mythology', 'Psychological']"
321,322,Monogatari Series: Second Season,8.9,Light Novel,6 vols,Oct 2010,Dec 2011,24237,"['Comedy', 'Slice of Life', 'Childcare', 'Iyashikei', 'School', 'Shoujo']"
322,323,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.9,Manga,9 vols,Jan 2012,Jun 2015,19024,"['Slice of Life', 'Pets']"
323,324,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.89,Manga,28 vols,May 2015,Nov 2022,284123,"['Award Winning', 'Drama', 'Adult Cast', 'Love Polygon', 'Performing Arts', 'Josei']"
324,325,Mikkakan no Koufuku,8.87,Novel,1 vols,Dec 2013,Dec 2013,34610,"['Comedy', 'Slice of Life', 'Childcare']"
325,326,GTO,8.87,Manga,25 vols,Dec 1996,Jan 2002,178087,"['Action', 'Adventure', 'Fantasy', 'Urban Fantasy', 'Shounen']"
326,327,3-gatsu no Lion,8.86,Manga,unfinished,Jul 2007,unfinished,71950,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance', 'Supernatural', 'Historical', 'Time Travel', 'Shoujo']"
327,328,Haikyuu!!,8.86,Manga,45 vols,Feb 2012,Jul 2020,228868,"['Action', 'Horror', 'Supernatural', 'Adult Cast', 'Gore', 'Historical', 'Vampire', 'Seinen']"
328,329,Tian Guan Cifu,8.85,Manhua,unfinished,Oct 2019,unfinished,14423,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Gore', 'Shounen']"
329,330,Koe no Katachi,8.85,Manga,7 vols,Aug 2013,Nov 2014,278550,"['Action', 'Comedy', 'Drama', 'Romance', 'Crossdressing', 'Organized Crime', 'Shoujo']"
330,331,Monogatari Series: Final Season,8.83,Light Novel,6 vols,Sep 2012,Sep 2014,19797,"['Action', 'Comedy', 'Romance', 'Delinquents', 'Martial Arts', 'School', 'Shounen']"
331,332,86,8.83,Light Novel,unfinished,Feb 2017,unfinished,44286,"['Adventure', 'Award Winning', 'Comedy', 'Mystery', 'Detective', 'Shounen']"
332,333,Sousou no Frieren,8.83,Manga,unfinished,Apr 2020,unfinished,142884,"['Drama', 'Supernatural', 'Historical']"
333,334,Akatsuki no Yona,8.82,Manga,unfinished,Aug 2009,unfinished,141842,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Shounen']"
334,335,Mushoku Tensei: Isekai Ittara Honki Dasu,8.82,Light Novel,26 vols,Jan 2014,Nov 2022,92475,"['Drama', 'Horror', 'Mystery', 'Psychological']"
335,336,Ookami to Koushinryou,8.82,Light Novel,unfinished,Feb 2006,unfinished,66465,"['Boys Love', 'Comedy', 'Drama', 'Shoujo']"
