Unnamed: 0,Rank,name,rating,Format,Volume Count,Start Date,End Date,Member Count,Genre
59,60,Chainsaw Man,8.70,Manga,unfinished,Dec 2018,unfinished,662495,"['Action', 'Mystery', 'Supernatural', 'Suspense']"
60,61,The Horizon,8.70,Manhwa,3 vols,Mar 2016,Jul 2016,100825,"['Comedy', 'Seinen']"
61,62,Mushishi,8.70,Manga,10 vols,Oct 1999,Aug 2008,89045,"['Action', 'Adventure', 'Fantasy', 'Urban Fantasy']"
62,63,Death Note,8.69,Manga,12 vols,Dec 2003,May 2006,410920,"['Action', 'Award Winning', 'Historical', 'Military', 'Seinen']"
63,64,Beck,8.69,Manga,34 vols,Feb 2000,Jun 2008,84673,"['Drama', 'Slice of Life', 'Psychological', 'Seinen']"
64,65,Utsuro no Hako to Zero no Maria,8.69,Light Novel,7 vols,Jan 2009,Jun 2015,105501,"['Action', 'Drama', 'Fantasy', 'Anthropomorphic', 'Seinen']"
65,66,Dorohedoro,8.68,Manga,23 vols,Nov 2000,Sep 2018,188005,"['Award Winning', 'Drama', 'Sports', 'Psychological', 'Team Sports', 'Seinen']"
66,67,Natsume Yuujinchou,8.67,Manga,unfinished,Jun 2003,unfinished,46386,"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Historical', 'Psychological', 'Seinen']"
67,68,Akira,8.66,Manga,6 vols,Dec 1982,Jun 1990,139074,"['Drama', 'Slice of Life', 'Sports', 'Combat Sports', 'Shounen']"
68,69,Solo Leveling,8.66,Manhwa,unfinished,Mar 2018,May 2023,559416,"['Award Winning', 'Comedy', 'Slice of Life', 'Childcare', 'Iyashikei']"
69,70,Tongari Boushi no Atelier,8.66,Manga,unfinished,Jul 2016,unfinished,105749,"['Action', 'Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']"
70,71,Yokohama Kaidashi Kikou,8.65,Manga,14 vols,Apr 1994,Feb 2006,79053,"['Action', 'Adventure', 'Boys Love', 'Mystery', 'Supernatural', 'Historical']"
71,72,Zaregoto Series,8.65,Light Novel,unfinished,Feb 2002,unfinished,25112,"['Comedy', 'Drama', 'Mystery', 'Supernatural', 'Vampire']"
72,73,Yagate Kimi ni Naru,8.65,Manga,8 vols,Apr 2015,Sep 2019,112874,"['Drama', 'Fantasy', 'Mystery', 'Supernatural', 'Shounen']"
73,74,Kimi no Suizou wo Tabetai,8.65,Novel,1 vols,Jun 2015,Jun 2015,9176,"['Award Winning', 'Comedy', 'Romance', 'School', 'Seinen']"
74,75,Bungou Stray Dogs: Beast,8.65,Manga,4 vols,Dec 2019,Jan 2022,17167,['Drama']
75,76,Medalist,8.65,Manga,unfinished,May 2020,unfinished,15879,"['Action', 'Award Winning', 'Comedy', 'Drama', 'Ecchi', 'Delinquents', 'School', 'Workplace', 'Shounen']"
76,77,Violet Evergarden,8.64,Light Novel,2 vols,Dec 2015,Dec 2016,29016,"['Award Winning', 'Drama', 'Slice of Life', 'Childcare', 'Iyashikei', 'Strategy Game', 'Seinen']"
77,78,Kusuriya no Hitorigoto,8.64,Manga,unfinished,May 2017,unfinished,74812,"['Award Winning', 'Sports', 'School', 'Team Sports', 'Shounen']"
78,79,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,8.64,Manga,9 vols,Apr 2011,Mar 2015,14600,"['Action', 'Adventure', 'Boys Love', 'Drama', 'Supernatural', 'Historical']"
79,80,Mahoutsukai no Yoru,8.64,Light Novel,1 vols,Apr 2012,Apr 2012,5704,"['Drama', 'Mystery', 'Supernatural', 'Suspense', 'Psychological', 'Shounen']"
80,81,Sayonara Eri,8.64,Manga,1 vols,Apr 2022,Apr 2022,138188,"['Mystery', 'Supernatural']"
81,82,Wind Breaker,8.63,Manhwa,unfinished,Dec 2013,unfinished,58791,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'Supernatural', 'Super Power']"
82,83,Gintama,8.63,Manga,77 vols,Dec 2003,Jun 2019,98539,"['Comedy', 'Drama', 'Romance', 'Slice of Life', 'School']"
83,84,Kozure Ookami,8.63,Manga,28 vols,Sep 1970,Apr 1976,49273,"['Action', 'Adventure', 'Award Winning', 'Historical', 'Seinen']"
84,85,Ginga Eiyuu Densetsu,8.63,Novel,10 vols,Nov 1982,Nov 1987,10624,"['Action', 'Drama', 'Sports']"
85,86,Kimi to Tsuzuru Utakata,8.63,Manga,6 vols,May 2020,Jan 2024,21767,"['Girls Love', 'School']"
86,87,Mo Dao Zu Shi,8.63,Manhua,unfinished,Dec 2017,Oct 2022,15618,"['Action', 'Adventure', 'Boys Love', 'Mystery', 'Supernatural', 'Historical']"
87,88,Shinyaku Toaru Majutsu no Index,8.63,Light Novel,23 vols,Mar 2011,Jul 2019,16084,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']"
