Unnamed: 0,Rank,name,rating,Format,Volume Count,Start Date,End Date,Member Count,Genre
184,185,Yuukoku no Moriarty,8.45,Manga,unfinished,Aug 2016,unfinished,38678,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military']"
185,186,Lost in the Cloud,8.45,Manhwa,unfinished,Nov 2020,Jan 2025,9641,"['Award Winning', 'Drama', 'Delinquents', 'Historical', 'Psychological', 'Seinen']"
186,187,Song of the Long March,8.45,Manhua,unfinished,Feb 2011,unfinished,30801,"['Boys Love', 'Psychological', 'School']"
187,188,Kage no Jitsuryokusha ni Naritakute!,8.45,Light Novel,unfinished,Nov 2018,unfinished,25311,"['Action', 'Adventure', 'Drama', 'Historical']"
188,189,Spirit Fingers,8.44,Manhwa,13 vols,May 2015,Jul 2018,7874,"['Drama', 'Horror', 'Mystery', 'Supernatural', 'Shounen']"
189,190,Hirano to Kagiura,8.44,Manga,unfinished,Mar 2019,unfinished,11020,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']"
190,191,Souyaku Toaru Majutsu no Index,8.44,Light Novel,unfinished,Feb 2020,unfinished,3678,"['Adventure', 'Award Winning', 'Comedy', 'Sci-Fi', 'Slice of Life', 'Anthropomorphic', 'School', 'Kids', 'Shounen']"
191,192,Dragon Ball,8.44,Manga,42 vols,Nov 1984,May 1995,171652,"['Drama', 'Romance', 'Performing Arts', 'Showbiz', 'Shoujo']"
192,193,Doraemon,8.44,Manga,45 vols,Dec 1969,1996,15945,"['Action', 'Delinquents', 'Martial Arts', 'Psychological', 'Seinen']"
193,194,Glass no Kamen,8.44,Manga,49 vols,Jan 1976,May 2012,12636,"['Action', 'Comedy', 'Delinquents', 'School', 'Shounen']"
194,195,Holyland,8.44,Manga,18 vols,Oct 2000,May 2008,91713,"['Comedy', 'Romance', 'Slice of Life']"
195,196,Kyou kara Ore wa!!,8.44,Manga,38 vols,1988,Oct 1997,22382,"['Boys Love', 'Slice of Life', 'School', 'Josei']"
196,197,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,8.44,Manga,6 vols,Nov 2010,Nov 2012,14291,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi', 'Supernatural', 'Super Power']"
197,198,Kininatteru Hito ga Otoko ja Nakatta,8.44,Manga,unfinished,Apr 2023,unfinished,35194,"['Girls Love', 'Music']"
198,199,Solo Leveling,8.43,Novel,13 vols,Nov 2016,Oct 2017,10615,"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Psychological', 'Seinen']"
199,200,Gekkan Shoujo Nozaki-kun,8.43,Manga,unfinished,Aug 2011,unfinished,83038,"['Fantasy', 'Isekai']"
200,201,21st Century Boys,8.43,Manga,2 vols,Dec 2006,Jul 2007,101434,"['Comedy', 'Slice of Life', 'Childcare', 'Iyashikei', 'Visual Arts', 'Shounen']"
201,202,Juuni Kokuki,8.43,Light Novel,unfinished,Jun 1992,unfinished,10011,"['Comedy', 'Romance', 'Otaku Culture', 'School']"
202,203,Barakamon,8.43,Manga,20 vols,Feb 2008,Jul 2023,43472,"['Action', 'Adventure', 'Fantasy', 'Adult Cast', 'Urban Fantasy']"
203,204,Tobaku Mokushiroku Kaiji,8.42,Manga,13 vols,Feb 1996,Jul 1999,22053,"['Drama', 'Fantasy', 'Romance', 'Reverse Harem', 'Villainess']"
204,205,"Natsu e no Tunnel, Sayonara no Deguchi",8.42,Light Novel,1 vols,Jul 2019,Jul 2019,7366,"['Award Winning', 'Drama', 'Adult Cast', 'High Stakes Game', 'Strategy Game', 'Seinen']"
205,206,Shiori Experience: Jimi na Watashi to Hen na Ojisan,8.42,Manga,unfinished,Oct 2013,unfinished,20863,"['Action', 'Mystery', 'Supernatural', 'Detective']"
206,207,Bungou Stray Dogs,8.42,Light Novel,unfinished,Apr 2014,unfinished,12000,"['Drama', 'Mystery', 'Sci-Fi']"
207,208,No Game No Life,8.42,Light Novel,unfinished,Apr 2012,unfinished,61566,"['Comedy', 'Fantasy', 'Ecchi', 'Isekai', 'Strategy Game']"
208,209,Villains Are Destined to Die,8.42,Manhwa,unfinished,May 2020,unfinished,36124,"['Comedy', 'Supernatural', 'Music', 'School', 'Seinen']"
209,210,Toshokan no Daimajutsushi,8.41,Manga,unfinished,Nov 2017,unfinished,20227,"['Girls Love', 'Slice of Life', 'School']"
210,211,Kimi wa Houkago Insomnia,8.41,Manga,14 vols,May 2019,Aug 2023,52347,"['Action', 'Fantasy', 'Isekai', 'Military', 'Reincarnation']"
211,212,Adachi to Shimamura,8.41,Light Novel,unfinished,Oct 2012,unfinished,11532,"['Fantasy', 'Seinen']"
212,213,Youjo Senki,8.41,Light Novel,unfinished,Oct 2013,unfinished,25030,"['Romance', 'School', 'Seinen']"
213,214,Mugen no Juunin,8.41,Manga,30 vols,Jun 1993,Dec 2012,86328,"['Action', 'Adventure', 'Drama', 'Supernatural', 'Historical', 'Martial Arts', 'Samurai', 'Seinen']"
214,215,Kuroshitsuji,8.41,Manga,unfinished,Sep 2006,unfinished,164311,"['Action', 'Fantasy', 'Mystery', 'Supernatural', 'Historical', 'Mythology', 'Shounen']"
215,216,Look Back,8.41,Manga,1 vols,Jul 2021,Jul 2021,111665,"['Romance', 'School', 'Shounen']"
216,217,Horimiya,8.41,Manga,17 vols,Oct 2011,Mar 2021,346592,"['Drama', 'Shounen']"
217,218,Nodame Cantabile,8.40,Manga,25 vols,Jul 2001,Aug 2010,28538,"['Award Winning', 'Drama', 'Historical', 'Seinen']"
218,219,Basara,8.40,Manga,27 vols,Aug 1990,May 1998,25803,"['Slice of Life', 'CGDCT', 'Iyashikei']"
219,220,Tobaku Hakairoku Kaiji,8.40,Manga,13 vols,Nov 2000,Apr 2004,11947,"['Award Winning', 'Comedy', 'Romance', 'Slice of Life', 'Adult Cast', 'Music', 'Josei']"
220,221,Onanie Master Kurosawa,8.40,Manga,4 vols,Sep 2007,Mar 2008,144679,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance', 'Shoujo']"
221,222,Innocent Rouge,8.40,Manga,12 vols,May 2015,Jan 2020,32198,"['Drama', 'Adult Cast', 'High Stakes Game', 'Strategy Game']"
222,223,Yuru Camp△,8.40,Manga,unfinished,May 2015,unfinished,20322,"['Drama', 'Psychological', 'School']"
223,224,Kimi no Na wa.,8.39,Manga,3 vols,May 2016,Jan 2017,93388,"['Action', 'Comedy', 'Drama', 'Martial Arts', 'School']"
224,225,The Breaker,8.39,Manhwa,10 vols,Jun 2007,Jul 2010,146304,"['Drama', 'Seinen']"
225,226,Mayonaka Heart Tune,8.39,Manga,unfinished,Sep 2023,unfinished,13249,"['Comedy', 'Romance', 'Harem', 'School', 'Showbiz', 'Shounen']"
226,227,No.6,8.38,Novel,9 vols,Oct 2003,Jun 2011,21940,['Drama']
227,228,Imawa no Kuni no Alice,8.38,Manga,18 vols,Nov 2010,Mar 2016,87588,"['Suspense', 'High Stakes Game', 'Psychological', 'Strategy Game', 'Shounen']"
228,229,Koe no Katachi,8.38,One-shot,unfinished,Jan 2011,Jan 2011,62201,"['Adventure', 'Romance', 'Historical', 'Shoujo']"
229,230,"Mata, Onaji Yume wo Miteita",8.38,Manga,3 vols,Sep 2017,Aug 2018,23796,"['Action', 'Sci-Fi', 'Seinen']"
230,231,Tomodachi Game,8.38,Manga,26 vols,Dec 2013,Aug 2024,84387,"['Comedy', 'Romance', 'School', 'Shoujo']"
231,232,Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,8.38,Light Novel,1 vols,Mar 2015,Mar 2015,12995,"['Comedy', 'Gag Humor', 'School', 'Shounen']"
232,233,Gunnm,8.38,Manga,9 vols,Nov 1990,Mar 1995,87366,"['Drama', 'Slice of Life', 'Childcare', 'Seinen']"
233,234,Kaichou wa Maid-sama!,8.38,Manga,18 vols,Dec 2005,Sep 2013,168913,"['Action', 'Fantasy', 'Sci-Fi', 'Super Power', 'Urban Fantasy']"
234,235,Nichijou,8.38,Manga,unfinished,Jun 2006,unfinished,41648,"['Action', 'Mystery', 'Sci-Fi']"
235,236,My Girl,8.38,Manga,5 vols,Jun 2006,Sep 2010,34603,"['Action', 'Horror', 'Supernatural', 'Gore', 'High Stakes Game', 'Psychological', 'Survival', 'Shounen']"
236,237,Toaru Majutsu no Index,8.38,Light Novel,22 vols,Apr 2004,Oct 2010,31794,"['Drama', 'School', 'Shounen']"
237,238,Love Bullet,8.38,Manga,unfinished,Oct 2023,unfinished,8766,"['Action', 'Drama', 'Girls Love', 'Supernatural', 'Reincarnation', 'Seinen']"
238,239,Daytime Star,8.37,Manhwa,unfinished,Jun 2021,Jan 2023,9288,"['Comedy', 'Girls Love', 'Slice of Life', 'School']"
239,240,The Breaker: New Waves,8.37,Manhwa,20 vols,Oct 2010,May 2015,95365,"['Romance', 'Adult Cast', 'Showbiz']"
240,241,xxxHOLiC,8.37,Manga,19 vols,Feb 2003,Feb 2011,86945,"['Action', 'Comedy', 'Drama', 'Romance', 'Martial Arts', 'School']"
241,242,Azumanga Daioh,8.37,Manga,4 vols,Jan 1999,Mar 2002,57010,"['Award Winning', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']"
242,243,Cardcaptor Sakura,8.37,Manga,12 vols,May 1996,Jul 2000,66529,"['Comedy', 'Drama', 'Mystery', 'Supernatural', 'Seinen']"
243,244,Kiseijuu,8.37,Manga,10 vols,Nov 1989,Dec 1995,106850,"['Comedy', 'Slice of Life', 'CGDCT', 'School']"
244,245,SKET Dance,8.37,Manga,32 vols,Jul 2007,Jul 2013,34010,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy', 'Romance', 'Mahou Shoujo', 'Shoujo']"
245,246,Bakuman.,8.37,Manga,20 vols,Aug 2008,Apr 2012,179473,"['Action', 'Award Winning', 'Horror', 'Sci-Fi', 'Gore', 'Psychological', 'Seinen']"
246,247,SQ: Begin W/Your Name!,8.37,Manhua,1 vols,Oct 2015,Oct 2015,65596,"['Award Winning', 'Comedy', 'Drama', 'School', 'Shounen']"
247,248,Tensei shitara Slime Datta Ken,8.37,Manga,unfinished,Mar 2015,unfinished,138395,"['Comedy', 'Drama', 'Romance', 'Otaku Culture', 'Shounen']"
248,249,Kimi no Yoru ni Fureru,8.36,Manga,1 vols,Aug 2021,Aug 2022,5487,"['Drama', 'Romance', 'Historical', 'Military', 'Shoujo']"
249,250,Shadows House,8.36,Manga,unfinished,Sep 2018,unfinished,44932,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Shounen']"
250,251,Ikoku Nikki,8.36,Manga,11 vols,Jun 2017,Jun 2023,7810,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']"
251,252,Tower of God,8.36,Manhwa,unfinished,Jul 2010,unfinished,201433,"['Fantasy', 'Mystery', 'Seinen']"
252,253,"Kumo desu ga, Nani ka?",8.36,Light Novel,16 vols,Dec 2015,Jan 2022,28505,"['Drama', 'Josei']"
253,254,Noragami,8.36,Manga,27 vols,Dec 2010,Jan 2024,190584,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']"
254,255,Boku dake ga Inai Machi,8.36,Manga,9 vols,Jun 2012,Nov 2016,91018,"['Boys Love', 'Drama']"
255,256,Versailles no Bara,8.36,Manga,10 vols,May 1972,Dec 1973,19820,"['Action', 'Fantasy', 'Mythology', 'Shounen']"
256,257,Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,8.36,Manga,5 vols,Sep 2009,Jun 2011,16921,"['Mystery', 'Supernatural', 'Psychological', 'Time Travel', 'Seinen']"
257,258,Konjiki no Gash!!,8.35,Manga,33 vols,Jan 2001,Dec 2007,34666,"['Comedy', 'Drama', 'Romance', 'Sports', 'Performing Arts', 'School', 'Shounen']"
258,259,Homunculus,8.35,Manga,15 vols,Mar 2003,Feb 2011,152776,"['Comedy', 'Romance', 'Adult Cast', 'Otaku Culture', 'Workplace']"
259,260,Hadashi no Gen,8.35,Manga,10 vols,May 1973,Sep 1974,12616,"['Action', 'Supernatural', 'Super Power']"
260,261,Watashi no Oshi wa Akuyaku Reijou.: Revolution,8.35,Light Novel,unfinished,Dec 2021,unfinished,6390,"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Supernatural', 'Shounen']"
261,262,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 0,8.35,Light Novel,1 vols,Dec 2022,Dec 2022,1817,"['Drama', 'Horror', 'Mystery', 'Supernatural', 'Psychological', 'Seinen']"
262,263,Fate/strange Fake,8.35,Light Novel,unfinished,Jan 2015,unfinished,10376,"['Drama', 'Historical', 'Shounen']"
263,264,Ballroom e Youkoso,8.35,Manga,unfinished,Nov 2011,unfinished,41586,"['Comedy', 'Fantasy', 'Girls Love', 'School', 'Villainess']"
264,265,Shousetsu Kimi no Na wa.,8.35,Novel,1 vols,Jun 2016,Jun 2016,8378,"['Action', 'Fantasy', 'Supernatural']"
265,266,Kieta Hatsukoi,8.35,Manga,9 vols,Jun 2019,Jun 2022,20060,['Drama']
266,267,Uma Musume Cinderella Gray,8.35,Manga,unfinished,Jun 2020,unfinished,3019,"['Award Winning', 'Boys Love', 'Comedy', 'Romance', 'School', 'Shoujo']"
267,268,Haruka Tooki Ie,8.35,Manga,1 vols,Sep 2020,Feb 2021,4191,"['Drama', 'Slice of Life', 'Sports', 'Seinen']"
268,269,Wotaku ni Koi wa Muzukashii,8.35,Manga,11 vols,Apr 2015,Jul 2021,142007,"['Boys Love', 'Drama']"
269,270,Bleach: Can't Fear Your Own World,8.35,Light Novel,3 vols,Aug 2017,Dec 2018,8432,"['Drama', 'Girls Love', 'Historical']"
270,271,Mairimashita! Iruma-kun,8.34,Manga,unfinished,Mar 2017,unfinished,63841,"['Comedy', 'Fantasy', 'Shounen']"
271,272,Kanata kara,8.34,Manga,14 vols,Sep 1991,Jan 2003,16771,"['Award Winning', 'Comedy', 'Drama', 'School', 'Shounen']"
272,273,Ten: Tenhou-doori no Kaidanji,8.34,Manga,18 vols,Aug 1989,Apr 2002,6606,"['Comedy', 'CGDCT', 'Iyashikei', 'Workplace']"
273,274,Her Tale of Shim Chong,8.34,Manhwa,7 vols,Sep 2017,Mar 2019,9329,"['Adventure', 'Award Winning', 'Fantasy', 'Romance', 'Isekai', 'Mythology', 'Shoujo']"
274,275,Gochuumon wa Usagi desu ka?,8.34,Manga,unfinished,Jan 2011,unfinished,7457,"['Drama', 'Adult Cast', 'Strategy Game']"
275,276,Gin no Saji,8.33,Manga,15 vols,Apr 2011,Nov 2019,43659,"['Drama', 'Psychological']"
276,277,Naruto Shinden Series,8.33,Light Novel,3 vols,Sep 2015,Nov 2015,12604,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']"
277,278,Violet Evergarden Gaiden,8.33,Light Novel,1 vols,Mar 2018,Mar 2018,3563,"['Drama', 'Fantasy']"
278,279,Mahoutsukai no Yome,8.33,Manga,unfinished,Nov 2013,unfinished,94720,"['Award Winning', 'Drama', 'Music', 'Seinen']"
279,280,Piano no Mori,8.33,Manga,26 vols,Aug 1998,Nov 2015,16424,"['Drama', 'Fantasy', 'Romance', 'Mythology', 'Urban Fantasy', 'Shounen']"
280,281,Lovely★Complex,8.32,Manga,17 vols,Aug 2001,Aug 2007,66231,"['Award Winning', 'Romance', 'School', 'Shoujo']"
281,282,Gakuen Alice,8.32,Manga,31 vols,Sep 2002,Jun 2013,43950,"['Fantasy', 'Mystery', 'Supernatural', 'Historical', 'Iyashikei', 'Seinen']"
282,283,Full Metal Panic! Sigma,8.32,Manga,19 vols,Apr 2005,Sep 2013,12716,"['Fantasy', 'Shounen']"
283,284,Durarara!!,8.32,Light Novel,13 vols,Apr 2004,Jan 2014,27789,"['Action', 'Fantasy', 'Isekai', 'Military', 'Reincarnation']"
284,285,JoJo no Kimyou na Bouken Part 9: The JoJoLands,8.32,Manga,unfinished,Feb 2023,unfinished,45394,"['Action', 'Adventure', 'Supernatural', 'Seinen']"
285,286,Amayo no Tsuki,8.32,Manga,unfinished,Jun 2021,unfinished,7509,"['Drama', 'Girls Love', 'School']"
286,287,I Shall Master This Family,8.32,Manhwa,unfinished,Feb 2021,unfinished,17044,"['Fantasy', 'Time Travel']"
287,288,Machida-kun no Sekai,8.32,Manga,7 vols,Mar 2015,Apr 2018,31851,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'School', 'Shoujo']"
288,289,Mushishi Tokubetsu-hen: Hihamukage,8.32,Manga,1 vols,Nov 2013,Dec 2013,6095,"['Comedy', 'Drama', 'Romance', 'Love Polygon', 'School', 'Super Power', 'Shoujo']"
289,290,Totsukuni no Shoujo,8.32,Manga,11 vols,Sep 2015,Mar 2021,83297,"['Action', 'Romance', 'Mecha', 'Military', 'Shounen']"
290,291,Youjo Senki,8.32,Manga,unfinished,Apr 2016,unfinished,29922,"['Action', 'Drama', 'Romance', 'Supernatural']"
291,292,Whale Star: The Gyeongseong Mermaid,8.32,Manhwa,6 vols,Jun 2019,Jul 2021,3158,"['Drama', 'Romance', 'Historical']"
292,293,NHK ni Youkoso!,8.31,Novel,1 vols,Jan 2002,Jan 2002,5984,"['Comedy', 'Drama', 'Romance', 'Psychological']"
293,294,Teito Seihai Kitan: Fate/type Redline,8.31,Manga,unfinished,Dec 2019,unfinished,15233,"['Action', 'Comedy', 'Fantasy', 'Supernatural']"
294,295,Mars,8.31,Manga,15 vols,Jan 1996,Nov 2000,36839,['Fantasy']
295,296,Shin Angyo Onshi,8.31,Manga,17 vols,Mar 2001,Aug 2007,35847,"['Music', 'Seinen']"
296,297,Touch,8.31,Manga,26 vols,Aug 1981,Nov 1986,14423,"['Drama', 'Romance', 'Psychological', 'Shoujo']"
297,298,Black Jack,8.31,Manga,25 vols,Nov 1973,Oct 1983,24113,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Supernatural', 'Historical', 'Seinen']"
298,299,Saikyou Densetsu Kurosawa,8.31,Manga,11 vols,Jan 2003,Sep 2006,27479,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'Sports', 'Love Polygon', 'School', 'Team Sports', 'Shounen']"
299,300,Hoshi no Samidare,8.31,Manga,10 vols,Jun 2005,Aug 2010,60160,"['Award Winning', 'Drama', 'Medical', 'Shounen']"
300,301,Saiki Kusuo no Ψ-nan,8.31,Manga,26 vols,May 2012,Jul 2018,35050,"['Action', 'Comedy', 'Drama', 'Suspense', 'Delinquents', 'Psychological', 'Seinen']"
301,302,Ookami Kodomo no Ame to Yuki,8.31,Manga,3 vols,Apr 2012,Aug 2013,25722,"['Action', 'Supernatural', 'Suspense', 'Psychological', 'Seinen']"
302,303,Re:Zero kara Hajimeru Isekai Seikatsu Ex,8.31,Light Novel,unfinished,Jun 2015,unfinished,6428,"['Action', 'Fantasy', 'Military', 'Shounen']"
303,304,Blue Giant Supreme,8.31,Manga,11 vols,Sep 2016,Apr 2020,5007,"['Comedy', 'Supernatural', 'Gag Humor', 'School', 'Super Power', 'Shounen']"
304,305,Sensou Kyoushitsu,8.31,Manga,unfinished,Jun 2022,unfinished,7422,"['Drama', 'Fantasy', 'Romance', 'Slice of Life', 'Childcare', 'Seinen']"
305,306,Kimi ni Todoke,8.30,Manga,30 vols,Aug 2005,Nov 2017,126055,"['Comedy', 'CGDCT', 'Music']"
306,307,Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken,8.30,Novel,1 vols,Aug 2006,Aug 2006,36799,"['Boys Love', 'Drama', 'Slice of Life']"
307,308,Doukyuusei,8.30,Manga,1 vols,Jul 2006,Jul 2007,41389,"['Boys Love', 'Slice of Life']"
308,309,Daichouhen Doraemon,8.30,Manga,24 vols,Jan 1980,Mar 2004,3693,"['Action', 'Fantasy', 'Horror', 'Gore', 'Psychological', 'Urban Fantasy', 'Seinen']"
309,310,Takemitsuzamurai,8.30,Manga,8 vols,Aug 2006,Mar 2010,15041,"['Award Winning', 'Romance', 'Slice of Life', 'School', 'Shoujo']"
310,311,Bocchi the Rock!,8.30,Manga,unfinished,Dec 2017,unfinished,25163,['Mystery']
311,312,Canis Series,8.30,Manga,unfinished,Jun 2012,unfinished,11391,"['Boys Love', 'Slice of Life', 'School']"
312,313,Harukaze no Étranger,8.30,Manga,unfinished,Jul 2014,unfinished,23135,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Slice of Life', 'Kids']"
313,314,Tokyo Ghoul:re,8.30,Manga,16 vols,Oct 2014,Jul 2018,301285,"['Award Winning', 'Slice of Life', 'Historical', 'Martial Arts', 'Samurai', 'Seinen']"
314,315,Chichi to Hige-Gorilla to Watashi,8.29,Manga,7 vols,Feb 2011,Nov 2018,8502,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen']"
315,316,Tsubasa: RESERVoir CHRoNiCLE,8.29,Manga,28 vols,May 2003,Oct 2009,82298,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'Slice of Life', 'Love Polygon', 'School', 'Showbiz', 'Shoujo']"
316,317,Kodomo no Omocha,8.29,Manga,10 vols,Jul 1994,Oct 1998,23490,"['Drama', 'Romance', 'School', 'Visual Arts', 'Josei']"
317,318,Paradise Kiss,8.29,Manga,5 vols,Mar 1999,Mar 2003,56257,"['Action', 'Drama', 'Horror', 'Sci-Fi', 'Psychological', 'Seinen']"
318,319,Blame!,8.29,Manga,10 vols,Jan 1997,Jul 2003,165725,"['Action', 'Drama', 'Adult Cast', 'Military', 'Organized Crime', 'Seinen']"
319,320,Black Lagoon,8.29,Manga,unfinished,Apr 2002,unfinished,57692,"['Romance', 'Childcare', 'Shoujo']"
320,321,Love So Life,8.29,Manga,17 vols,Apr 2008,Jul 2015,60644,"['Drama', 'Horror', 'Mystery', 'Mythology', 'Psychological']"
321,322,Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch,8.29,Manga,6 vols,Oct 2009,Feb 2012,15715,"['Comedy', 'Slice of Life', 'Childcare', 'Iyashikei', 'School', 'Shoujo']"
322,323,Gakuen Babysitters,8.29,Manga,unfinished,Sep 2009,unfinished,25477,"['Slice of Life', 'Pets']"
323,324,Ojisama to Neko,8.29,Manga,unfinished,Jun 2017,unfinished,22325,"['Award Winning', 'Drama', 'Adult Cast', 'Love Polygon', 'Performing Arts', 'Josei']"
324,325,Shouwa Genroku Rakugo Shinjuu,8.29,Manga,10 vols,Mar 2010,Jun 2016,9936,"['Comedy', 'Slice of Life', 'Childcare']"
325,326,Annarasumanara,8.28,Manhwa,3 vols,Jul 2010,Dec 2010,70984,"['Action', 'Adventure', 'Fantasy', 'Urban Fantasy', 'Shounen']"
326,327,Orange,8.28,Manga,7 vols,Mar 2012,Apr 2022,163736,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance', 'Supernatural', 'Historical', 'Time Travel', 'Shoujo']"
327,328,Make Heroine ga Oosugiru!,8.28,Light Novel,unfinished,Jul 2021,unfinished,5185,"['Action', 'Horror', 'Supernatural', 'Adult Cast', 'Gore', 'Historical', 'Vampire', 'Seinen']"
328,329,SSS-Class Revival Hunter,8.28,Manhwa,unfinished,Dec 2020,unfinished,45228,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Gore', 'Shounen']"
329,330,Leviathan,8.28,Manhwa,unfinished,Mar 2018,Apr 2022,15579,"['Action', 'Comedy', 'Drama', 'Romance', 'Crossdressing', 'Organized Crime', 'Shoujo']"
330,331,Akuyaku Reijou no Naka no Hito: Danzai sareta Tenseisha no Tame Usotsuki Heroine ni Fukushuu Itashimasu,8.28,Manga,unfinished,Nov 2021,unfinished,7961,"['Action', 'Comedy', 'Romance', 'Delinquents', 'Martial Arts', 'School', 'Shounen']"
331,332,"Tsuihou sareru Tabi ni Skill wo Te ni Ireta Ore ga, 100 no Isekai de 2-shuume Musou",8.28,Manga,unfinished,Jul 2022,unfinished,11306,"['Adventure', 'Award Winning', 'Comedy', 'Mystery', 'Detective', 'Shounen']"
332,333,D.Gray-man,8.28,Manga,unfinished,May 2004,unfinished,164228,"['Drama', 'Supernatural', 'Historical']"
333,334,Sora wa Akai Kawa no Hotori,8.28,Manga,28 vols,Jan 1995,Jun 2002,25293,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Shounen']"
334,335,Hellsing,8.28,Manga,10 vols,Apr 1997,Sep 2008,100770,"['Drama', 'Horror', 'Mystery', 'Psychological']"
335,336,Claymore,8.28,Manga,27 vols,Jun 2001,Oct 2014,211787,"['Boys Love', 'Comedy', 'Drama', 'Shoujo']"
336,337,Tokyo Crazy Paradise,8.28,Manga,19 vols,Dec 1996,Apr 2002,18971,"['Fantasy', 'Romance', 'Historical', 'Mythology', 'Shoujo']"
337,338,Angel Densetsu,8.28,Manga,15 vols,May 1992,Feb 2000,59107,"['Drama', 'Horror', 'Mystery', 'Psychological']"
338,339,Meitantei Conan,8.28,Manga,unfinished,Jan 1994,unfinished,61528,"['Drama', 'Mystery', 'Romance', 'Psychological', 'School', 'Seinen']"
339,340,Buddha,8.28,Manga,14 vols,Sep 1972,Nov 1983,16498,"['Drama', 'Romance', 'Sci-Fi', 'Love Polygon', 'School', 'Time Travel', 'Shoujo']"
340,341,Higurashi no Naku Koro ni Kai: Meakashi-hen,8.28,Manga,4 vols,Jun 2006,Feb 2008,16087,"['Adventure', 'Award Winning', 'Drama', 'Supernatural', 'Shounen']"
341,342,Higurashi no Naku Koro ni Kai: Tsumihoroboshi-hen,8.28,Manga,4 vols,Jun 2006,Apr 2008,13041,"['Drama', 'School', 'Seinen']"
342,343,Komatta Toki ni wa Hoshi ni Kike,8.28,Manga,26 vols,Mar 1997,May 2005,8048,"['Comedy', 'Romance', 'School']"
343,344,Hana to Akuma,8.28,Manga,10 vols,Oct 2007,Nov 2010,44849,"['Action', 'Adventure', 'Fantasy', 'Time Travel']"
344,345,Higurashi no Naku Koro ni Kai: Minagoroshi-hen,8.28,Manga,6 vols,Jun 2008,Jun 2010,11906,"['Action', 'Fantasy', 'Survival']"
345,346,Fumetsu no Anata e,8.28,Manga,unfinished,Nov 2016,unfinished,107277,"['Drama', 'Villainess']"
346,347,Koko wa Ima kara Rinri desu.,8.28,Manga,unfinished,Oct 2016,unfinished,28805,"['Fantasy', 'Isekai', 'Seinen']"
347,348,Katanagatari,8.27,Light Novel,12 vols,Jan 2007,Dec 2007,8167,"['Action', 'Drama', 'Horror', 'Suspense', 'Gore']"
348,349,Sakamichi no Apollon: Bonus Track,8.27,Manga,1 vols,Mar 2012,Jul 2012,6615,"['Comedy', 'Drama', 'Romance', 'Crossdressing', 'Love Polygon', 'School', 'Shoujo']"
349,350,Hanazakari no Kimitachi e,8.27,Manga,23 vols,Aug 1996,Aug 2004,37378,"['Action', 'Adventure', 'Award Winning', 'Comedy', 'Drama', 'Sci-Fi', 'Adult Cast', 'Seinen']"
350,351,Trigun Maximum,8.27,Manga,14 vols,Sep 1997,Mar 2007,31283,"['Action', 'Adventure', 'Shounen']"
351,352,Saint Seiya: The Lost Canvas - Meiou Shinwa,8.27,Manga,25 vols,Sep 2006,Apr 2011,16631,"['Action', 'Adventure', 'Comedy', 'Romance', 'Samurai']"
352,353,Sweet Home,8.27,Manhwa,12 vols,Oct 2017,Jul 2020,84423,"['Drama', 'Romance', 'Slice of Life', 'Historical', 'Music', 'Josei']"
353,354,Jujutsu Kaisen,8.26,Manga,30 vols,Mar 2018,Sep 2024,465409,"['Drama', 'Psychological', 'School', 'Seinen']"
354,355,Boy Meets Maria,8.26,Manga,1 vols,Oct 2017,Aug 2018,27514,"['Romance', 'Love Status Quo', 'School', 'Seinen']"
355,356,Ao no Hako,8.26,Manga,unfinished,Apr 2021,unfinished,83141,"['Action', 'Martial Arts']"
356,357,Bungou Stray Dogs Wan!,8.26,Manga,unfinished,Dec 2015,unfinished,7465,"['Comedy', 'Drama', 'Romance', 'Shoujo']"
