FilmID,Title,ReleaseDate,DirectorID,StudioID,CountryID,LanguageID,GenreID,RunTimeMinutes,CertificateID,BudgetDollars,BoxOfficeDollars,OscarNominations,OscarWins
1199,Once Upon a Time in China III,11-02-1993,370,103,265,2,17,105,2,,,0,0
1200,Fong Sai-yuk,04-03-1993,371,194,265,2,17,106,5,,,0,0
1201,Fong Sai-yuk II,30-07-1993,371,194,265,2,17,96,5,,,0,0
1202,Fist of Legend,22-12-1994,372,194,265,2,17,103,6,,,0,0
1203,Romeo Must Die,22-03-2000,373,52,241,1,4,115,5,25000000,91000000,0,0
1204,The One,02-11-2001,374,19,241,1,3,87,5,49000000,72700000,0,0
1205,Kiss of the Dragon,06-07-2001,375,195,79,1,4,98,6,25000000,64400000,0,0
1206,Cradle 2 the Grave,28-02-2003,373,52,241,1,4,101,5,25000000,56500000,0,0
1207,Unleashed,02-02-2005,376,196,79,1,17,102,6,45000000,50900000,0,0
1208,Fearless,26-01-2006,377,134,48,5,17,105,5,,68100000,0,0
1209,The Warlords,12-12-2007,378,134,265,5,5,127,5,40000000,,0,0
1210,Dragon,13-05-2011,378,197,265,5,17,116,5,20000000,29100000,0,0
1211,The Forbidden Kingdom,18-04-2008,379,128,241,1,17,104,4,55000000,128000000,0,0
1212,The Mummy: Tomb of the Dragon Emperor,01-08-2008,32,128,241,1,8,111,4,145000000,401100000,0,0
1213,The Expendables,03-08-2010,242,80,241,1,4,103,6,82000000,274500000,0,0
1214,The Expendables 2,13-08-2012,380,80,241,1,4,103,5,100000000,305400000,0,0
1215,The Expendables 3,04-08-2014,381,80,241,1,4,126,5,90000000,206200000,0,0
1216,The Incredible Hulk,08-06-2008,376,53,241,1,4,112,4,150000000,263400000,0,0
1217,Now You See Me,21-05-2013,376,108,241,1,18,115,3,75000000,351700000,0,0
1218,Clash of the Titans,02-04-2010,376,43,241,1,8,106,4,125000000,493200000,0,0
1219,Clash of the Titans,12-06-1981,382,11,240,1,8,118,3,15000000,41000000,0,0
1220,The Transporter,02-10-2002,376,196,79,1,4,92,5,24000000,43900000,0,0
1221,Transporter 2,03-08-2005,376,196,79,1,4,88,5,32000000,85160000,0,0
1222,Zu Warriors from the Magic Mountain,05-02-1983,370,103,265,2,8,98,2,,,0,0
1223,A Better Tomorrow,02-08-1986,45,198,265,2,4,95,6,,,0,0
1224,A Better Tomorrow II,17-12-1987,45,198,265,2,4,104,6,,,0,0
1225,The Master,28-05-1992,370,103,265,2,17,92,6,,,0,0
1226,A Better Tomorrow III,20-10-1989,370,199,265,2,4,145,6,,,0,0
1227,The Killer,06-07-1989,45,199,265,2,4,110,6,,,0,0
1228,Seven Swords,29-07-2005,370,200,265,5,17,153,5,18000000,,0,0
1229,Detective Dee and the Mystery of the Phantom Flame,29-09-2010,370,200,48,5,8,122,3,20000000,51700000,0,0
1230,Flying Swords of Dragon Gate,15-12-2011,370,200,48,5,17,125,5,35000000,100000000,0,0
1231,Young Detective Dee: Rise of the Sea Dragon,28-09-2013,370,200,48,5,8,133,3,,98400000,0,0
1232,Hard Boiled,16-04-1992,45,199,265,2,4,128,6,4500000,,0,0
1233,Hard Target,20-08-1993,45,137,241,1,4,97,6,19500000,74200000,0,0
1234,Broken Arrow,09-02-1996,45,4,241,1,4,108,5,50000000,150200000,0,0
1235,Face/Off,27-06-1997,45,2,241,1,4,139,6,80000000,245700000,1,0
1236,Paycheck,25-12-2003,45,60,241,1,3,119,4,60000000,96300000,0,0
1237,Red Cliff,10-07-2008,45,134,48,5,5,146,5,80000000,124000000,0,0
1238,Red Cliff II,07-01-2009,45,134,48,5,5,142,5,80000000,124300000,0,0
1239,The Raid,08-09-2011,384,201,266,13,17,101,6,1100000,9140000,0,0
1240,Merantau,06-08-2009,384,201,266,13,17,135,5,,,0,0
1241,The Raid 2,21-01-2014,384,201,266,13,17,150,6,4500000,6600000,0,0
1242,Ong-Bak,21-01-2003,385,202,267,14,17,108,6,1100000,20112926,0,0
1243,Ong-Bak 2,04-12-2008,387,203,267,14,17,98,5,8000000,9000000,0,0
1244,Ong-Bak 3,05-05-2010,387,203,267,14,17,95,6,,,0,0
1245,Warrior King,11-08-2005,385,202,267,14,17,110,6,5000000,27200000,0,0
1246,Warrior King 2,23-10-2013,385,202,267,14,17,103,5,15000000,,0,0
1247,Ip Man,18-12-2008,388,134,265,2,17,108,5,11715000,21900000,0,0
1248,Ip Man 2,29-04-2010,388,134,265,2,17,109,5,12900000,49700000,0,0
1249,Ip Man 3,16-12-2015,388,204,265,2,17,105,4,36000000,156844000,0,0
1250,Iron Monkey,03-09-1993,367,103,265,2,17,90,3,11000000,15000000,0,0
1251,"Crouching Tiger, Hidden Dragon: Sword of Destiny",18-02-2016,367,134,241,1,17,105,5,20000000,31000000,0,0
1252,Dragon Tiger Gate,28-07-2006,388,134,265,2,17,96,5,,,0,0
1253,Rashomon,25-08-1950,122,205,118,6,2,88,2,250000,,1,0
1254,Ikiru,09-10-1952,122,38,118,6,2,143,2,,,0,0
1255,Throne of Blood,15-01-1957,122,38,118,6,2,110,2,,,0,0
1256,The Hidden Fortress,28-12-1958,122,38,118,6,8,139,2,,,0,0
1257,Yojimbo,25-04-1961,122,38,118,6,4,110,2,,,1,0
1258,Sanjuro,01-01-1962,122,38,118,6,4,95,2,,,0,0
1259,47 Ronin,22-10-1994,389,38,118,6,4,132,5,,,0,0
1260,47 Samurai,03-11-1962,390,38,118,6,4,207,7,,,0,0
1261,47 Ronin,06-12-2013,391,206,241,1,4,127,4,225000000,151800000,0,0
1262,The Tale of Osaka Castle,03-01-1961,390,38,118,6,4,95,7,,,0,0
1263,Whirlwind,03-01-1964,390,38,118,6,4,108,7,,,0,0
1264,Samurai Saga,28-04-1959,390,38,118,6,4,111,7,,,0,0
1265,Nippon tanjo,01-01-1959,390,38,118,6,12,182,7,,,0,0
1266,Samurai I: Musashi Miyamoto,26-09-1954,390,38,118,6,4,93,2,,,0,0
1267,Samurai II: Duel at Ichijoji Temple,12-07-1955,390,38,118,6,4,103,2,,,0,0
1268,Samurai III: Duel at Ganryu Island,03-01-1956,390,38,118,6,4,105,2,,,0,0
1269,Ichi the Killer,14-09-2001,392,207,118,6,14,128,6,1400000,,0,0
1270,13 Assassins,25-09-2010,392,38,118,6,4,125,6,6000000,17100000,0,0
1271,Hara-Kiri: Death of a Samurai,19-05-2011,392,208,118,6,2,126,6,,,0,0
1272,Zatoichi,02-09-2003,393,209,118,6,4,116,6,,32300000,0,0
1273,Thor,17-04-2011,394,53,241,1,4,114,4,150000000,449300000,0,0
1274,Battleship,03-04-2012,167,210,241,1,4,131,4,220000000,303000000,0,0
1275,The Kingdom,22-08-2007,167,128,241,1,9,109,5,70000000,119000000,0,0
1276,Lone Survivor,12-11-2013,167,82,241,1,5,121,5,40000000,154800000,2,0
1277,Deepwater Horizon,13-09-2016,167,46,241,1,25,107,4,110000000,117300000,0,0
1278,Boiling Point,15-09-1990,393,211,118,6,14,96,6,,,0,0
1279,Outrage,17-05-2010,393,211,118,6,14,109,6,,,0,0
1280,Beyond Outrage,02-09-2012,393,211,118,6,14,112,7,,16211000,0,0
1281,Battle Royale,16-12-2000,395,212,118,6,4,113,6,4500000,25000000,0,0
1282,The Fall of Ako Castle,28-10-1978,395,213,118,6,4,158,7,,,0,0
1283,Shogun's Samurai,21-01-1978,395,213,118,6,4,130,7,,,0,0
1284,Samurai Reincarnation,06-06-1981,395,213,118,6,4,122,7,,,0,0
1285,The Fast and the Furious: Tokyo Drift,04-06-2006,142,128,241,1,4,104,4,85000000,158500000,0,0
1286,The Bushido Blade,20-11-1981,396,214,241,1,4,104,7,,,0,0
1287,When the Last Sword Is Drawn,04-11-2002,397,215,118,6,2,137,5,4000000,,0,0
1288,Departures,23-08-2008,397,216,118,6,2,130,4,,70000000,1,1
1289,The Twilight Samurai,02-11-2002,398,217,118,6,2,129,3,5000000,,1,0
1290,The Hidden Blade,30-10-2004,398,217,118,6,2,132,5,,,0,0
1291,Love and Honor,20-10-2006,398,209,118,6,2,118,3,,33755000,0,0
1292,Lone Wolf and Cub: Sword of Vengeance,01-04-1972,399,38,118,6,8,83,6,,,0,0
1293,Lone Wolf and Cub: Baby Cart at the River Styx,27-04-1972,399,38,118,6,8,85,6,,,0,0
1294,Lone Wolf and Cub: Baby Cart to Hades,02-09-1972,399,38,118,6,8,89,6,,,0,0
1295,Lone Wolf and Cub: Baby Cart in Peril,01-11-1972,400,38,118,6,8,81,6,,,0,0
1296,Lone Wolf and Cub: Baby Cart in the Land of Demons,11-08-1973,399,38,118,6,8,89,6,,,0,0
1297,Lone Wolf and Cub: White Heaven in Hell,24-04-1974,401,38,118,6,8,84,6,,,0,0
1298,Godzilla,03-11-1954,402,38,118,6,4,96,2,175000,,0,0
1299,King Kong vs. Godzilla,11-08-1962,402,38,118,6,4,97,2,200000,,0,0
1300,Mothra vs. Godzilla,29-04-1964,402,38,118,6,4,88,2,,,0,0
1301,District 13,10-11-2004,403,196,79,3,4,86,5,12000000,,0,0
1302,District 13: Ultimatum,18-02-2009,404,196,79,3,4,106,5,13600000,14100000,0,0
1303,Taken,27-02-2008,403,196,79,1,9,90,6,22000000,226800000,0,0
1304,From Paris with Love,05-02-2010,403,196,79,1,9,92,5,52000000,52800000,0,0
1305,The Gunman,20-03-2015,403,52,241,1,9,115,5,40000000,24200000,0,0
1306,Mesrine Part 1: Killer Instinct,22-10-2008,405,218,79,3,14,113,5,,,0,0
1307,Mesrine Part 2: Public Enemy Number 1,19-11-2008,405,218,79,3,14,133,5,,,0,0
1308,Assault on Precinct 13,19-01-2005,405,219,241,1,9,109,5,30000000,35300000,0,0
1309,A Prophet,16-05-2009,406,220,79,3,14,155,6,13000000,17900000,0,0
1310,Kung Fu Hustle,14-09-2004,182,134,265,2,17,98,5,20000000,102000000,0,0
1311,This Is England,12-09-2006,407,221,240,1,2,102,6,3000000,10000000,0,0
1312,A Room for Romeo Brass,23-08-1999,407,222,240,1,2,90,5,,,0,0
1313,Once Upon a Time in the Midlands,06-09-2002,407,221,240,1,27,104,5,,,0,0
1314,Dead Man's Shoes,01-10-2004,407,221,240,1,9,90,6,1000000,,0,0
1315,The League of Gentlemen's Apocalypse,03-06-2005,408,221,240,1,7,92,5,6000000,,0,0
1316,Down Terrace,21-09-2009,409,223,240,1,14,93,5,30000,,0,0
1317,Kill List,12-03-2011,409,221,240,1,9,95,6,800000,462206,0,0
1318,Sightseers,23-05-2012,409,221,240,1,7,85,5,,2101166,0,0
1319,A Field in England,05-07-2013,409,221,240,1,9,91,5,500000,,0,0
1320,High-Rise,13-09-2015,409,221,240,1,3,119,5,8000000,3900000,0,0
1321,Free Fire,08-09-2016,409,221,240,1,7,90,7,,,0,0
1322,Momentum,16-10-2015,410,224,268,1,9,96,5,20000000,,0,0
1323,District 9,13-08-2009,411,42,268,1,3,112,5,30000000,210800000,4,0
1324,Elysium,07-08-2013,411,147,241,1,3,109,5,115000000,286100000,0,0
1325,Chappie,04-03-2015,411,5,241,1,3,120,5,49000000,102100000,0,0
1326,Slumdog Millionaire,30-08-2008,108,221,240,1,2,120,5,15000000,377900000,10,8
1327,The Best Exotic Marigold Hotel,30-11-2011,195,225,240,1,7,124,4,10000000,136800000,0,0
1328,The Second Best Exotic Marigold Hotel,26-02-2015,195,225,240,1,7,122,2,10000000,86000000,0,0
1329,John Carter,07-03-2012,170,3,241,1,3,132,4,350000000,284100000,0,0
1330,Ironclad,04-03-2011,412,226,240,1,13,121,5,25000000,,0,0
1331,Solomon Kane,23-12-2009,413,68,79,1,8,104,5,40000000,19400000,0,0
1332,A Knight's Tale,11-05-2001,414,5,241,1,8,132,2,65000000,117500000,0,0
1333,Shallow Grave,17-05-1994,108,221,240,1,14,92,6,2500000,19800000,0,0
1334,A Life Less Ordinary,24-10-1997,108,33,240,1,7,103,5,12000000,4366722,0,0
